instance,run,step,CVN,CRT
c101,2026-01-08_13-25-09,96,20,2688
c102,2026-01-08_13-25-09,85,19,2592
c103,2026-01-08_13-25-09,91,18,2571
c104,2026-01-08_13-25-09,71,18,2462
c105,2026-01-08_13-25-09,94,17,2504
c106,2026-01-08_13-25-09,50,19,2633
c107,2026-01-08_13-25-09,88,17,2427
c108,2026-01-08_13-25-09,70,19,2400
c109,2026-01-08_13-25-09,68,17,2260
c201,2026-01-08_13-25-09,54,7,1367
c202,2026-01-08_13-25-09,93,7,1583
c203,2026-01-08_13-25-09,79,8,1922
c204,2026-01-08_13-25-09,71,6,1632
c205,2026-01-08_13-25-09,100,8,1602
c206,2026-01-08_13-25-09,72,8,1456
c207,2026-01-08_13-25-09,80,7,1662
c208,2026-01-08_13-25-09,61,6,1483
r101,2026-01-08_13-25-09,1,31,3130
