id	A	B	C	D	E	F
0	F5	E3	H4	J3		
1	F6	E5	E5	B2	E8	
2	F6	F7	F7	G9		
3	F5	F5	F5	F5	F5	
4	F4	F4	F4			
5	E6	C7	C7	B9		
6	F5	F5	I2	I2		
7	E5	E5	E5	E5	E5	
8	C4	C4	F3	B2		
9	B6	B5	D5			
10	D8	F5	B9	F6		
11	E5	E5	B2	B2		
12	G3	G3	H9	G3		
13	F6	G3	G3	H2	H2	
14	F6	F8	F8	F8		
15	C4	C4	B3			
16	E5	E3	E4	E4		
17	E5	E5	E5	E5	E5	
18	E5	F3	F3	E5		
19	F6	D7	E8	E8		
20	E5	E5	E5			
21	E6	E6	E6			
22	C9	F6	F6	H7		
23	F6	F6	F6	F6	H10	
24	D8	D8	C10	E8		
25	F6	I9	I9	I9		
26	E5	E5	C3	A7		
27	D4	D4	D4	E5		
28	F5	F5	F5	J1	F5	
29	F5	D8	D8	D8		
30	F6	F6	F6	G8		
31	B7	E6	B7			
32	E5	E3	C2			
33	C8	C8	B3	C8		
34	F6	F6	F6	E7		
35	D8	D8	D8	D8		
36	E5	E5	E5	F5		
37	F5	F5	F5	F5		
38	C4	C4	D4	C4		
39	F8	F8	B9	B9		
40	D3	E5	I2	D3		
41	E5	E6	E6	E6	E6	
42	E6	E6	E6	E6	E6	
43	F6	G9	G9			
44	F4	F4	F4	F7		
45	F5	E7	E8	E7		
46	F6	F8	F8	F8		
47	F5	G3	F1			
48	F8	F8	F8			
49	F6	G8	G9	G8		
50	F5	F5	I2	I2		
51	F6	F6	H8			
52	E5	E6	E5			
53	F6	E7	E7	E7		
54	E5	E5	E5	E5		
55	E6	E6	B8	E6		
56	F5	H4	G3			
57	E6	G8	G8	G8		
58	E5	F8	F8	F9	F8	
59	E5	B4	B4	B4		
60	E5	E5	E5	E5		
61	G4	G4	D9	D9		
62	F6	F8	F8	F8		
63	D6	A9	C6	C6		
64	F5	F5	F5	F5	F5	
65	H4	B1	B1			
66	E6	D8	B8	B9		
67	F5	H4	H4	H4		
68	E6	E6	E6	E6		
69	E5	B3	C7	E3		
70	C7	C7	G1	G1		
71	E5	E5	E5	C2	E5	
72	D8	D9	C10			
73	E5	D3	D3	C1	D3	
74	E5	E6	E6	E6		
75	G8	G8	G8	G8		
76	E6	E7	E7	D8		
77	F5	F5	F5			
78	F5	E5	E5	E5	E5	
79	F5	H4	B9	F5		
80	F6	F5	F5	F5		
81	F8	F7	F7	F8	F8	
82	F5	H4	E4			
83	E6	E6	C8			
84	F5	F5	F5	I2		
85	D7	F6	I10			
86	D8	D8	F2	D8	D8	
87	F6	H7	F7			
88	E6	E6	E6	E6		
89	E5	F8	F8	F8		
90	F6	F9	F8	F8		
91	F6	F6	F6	F6		
92	F6	F6	I8			
93	F6	F3	F8			
94	F5	F5	F5			
95	D8	D8	A9	B10		
96	E6	D8	D8	D8		
97	E5	G2	I5			
98	F3	F3	J1	F3		
99	E5	E5	E5	E5		
100	D8	C5	C5	C5		
101	E6	I7	I7	I7		
102	F8	C8	C8			
103	F5	F5	F5	F5	F5	
104	E5	C3	E5			
105	F5	E4	E3	E3		
106	E6	E7	F6			
107	E6	B6	D5	D5		
108	F6	B5	B5	B5	B5	
109	E6	D8	D8	D8		
110	F5	F5	F3			
111	G5	G5	H5			
112	F5	F5	F5	F5		
113	E5	E5	E5	E5	E5	
114	E6	F3	F3	F3		
115	E6	E6	E6	E6		
116	E6	E2	E2	E2		
117	E6	H8	C8			
118	F5	F5	E5			
119	E8	C9	C8	F2		
120	F4	E4	E6	E6		
121	I3	F9	I3	I3		
122	F5	E6	E6	A8		
123	F6	F6	D4	F6		
124	F6	F6	F6	F6		
125	E7	A7	E3	E3	E3	
126	F5	F5	F5	F5		
127	E5	E5	E5	E5		
128	F6	F9	F9			
129	E5	E5	E5	E5	E5	
130	E5	B8	B4	B4		
131	F6	F6	I8	F6		
132	C7	C7	C7	C7		
133	F6	F5	I8			
134	E5	B5	B5	B5		
135	E6	E6	A10			
136	E5	E5	E5	E5	E5	
137	F5	F5	F5	F5		
138	E6	E6	D9	E9	D9	
139	F6	G7	G7	E7		
140	E5	G6	G6	G6		
141	F4	F4	F4	F2		
142	F5	B9	F5	F5		
143	D6	C6	C6			
144	E6	C7	C7	C7	B8	
145	F9	F9	F9	F9		
146	F6	B7	E3	E3		
147	F6	I7	I7			
148	I9	F6	F6	I9		
149	C7	C7	C7	A8	A8	
150	F6	F7	G5	E3		
151	F4	E8	F2	E8	E8	
152	E6	F6	D10	F9	F9	
153	F6	H7	H7	J8		
154	F5	F5	F5			
155	F6	G9	F9			
156	E5	D5	D5	D5		
157	F6	F6	F6	F6	F6	
158	E3	G8	G8	I3	E3	
159	E6	F3	F3	F3		
160	F6	F6	F6	F6		
161	H4	H4	I8	I8		
162	E5	E5	E5	E5		
163	E6	D9	D9	E9	E9	
164	E4	D10	E4			
165	F6	E5	E5	E5	B2	
166	E6	E6	E6	B8	E6	
167	B6	B6	I2	B6		
168	D6	D6	C7			
169	E6	E6	E6			
170	D7	D7	C8	D6		
171	E5	D8	D8	D8		
172	E8	E5	E5	E8		
173	E5	F3	H5			
174	H7	D6	H7	F5		
175	E5	E5	E5	E5	B4	
176	E6	E8	E8	E9	E8	
177	G8	G8	E10	D10		
178	F6	G2	F6	F9		
179	B5	B5	A5	A5		
180	F6	H9	F8			
181	F2	D9	F1	B2		
182	B3	B3	B3	B3		
183	F6	F6	F6	F6		
184	E6	E6	A10	E6		
185	E8	H3	E8	E8		
186	C5	C5	A4	C5		
187	F6	F6	F6	F6		
188	B6	E6	E6	B6		
189	E6	F8	C2	F8	F8	
190	E5	E3	E2	E3		
191	C7	F6	F6	F6		
192	E5	C4	I4	A3		
193	F5	H3	F5	F5		
194	F6	B4	B4	B4		
195	F6	G7	G7	G7		
196	E6	E6	E6	E6	E6	
197	F5	E5	E5	E5		
198	D8	D8	D8			
199	E6	C1	C1	F2		
200	E5	E5	E5			
201	F5	F5	G4	I2		
202	E6	E6	E6	E6	E6	
203	D6					
