id	A	B	C	D	E	F	G
0.0			I2	I2	I2		
1.0	F6	B8	B8	B8	A8		
2.0	F2	E5	I8	F2			
3.0	F6	I6	I6				
4.0	I2	I2	I2	I2			
5.0	B1	D10	B1	I6			
6.0	F6	A10	A10	A10	A10	A10	
7.0	B9	B9	B9	A5			
8.0	J1	D3	J1	J1	J1		
9.0		E9	E9	E9	E9		
10.0		J7	G8	J7			
11.0	C2	C2	C2	C2	C2		
12.0	D10	E9	D10	A8			
13.0	G9	G9	G9				
14.0	J1	I2	J1	J1	J1		
15.0	F6	J7	J7	J8			
16.0	F6	D10	C10				
17.0	F6	F10	A10				
18.0	F6	C1	A4	C1	A1		
19.0		E5	E2				
20.0	D5	B6	J9	F9			
21.0		C1	F2	C1	C1		
22.0		I2	I2	I2	I2		
23.0	F8	I8	I8				
24.0		E5	C2	C2	C2	C2	
25.0	E5	E5	F1				
26.0	I2	E2	I2	I2	I2		
27.0	F6	G4	G4	G4			
28.0	F6	B6	B6	C7	B6		
29.0	F6	D5	C10	C10	C10		
30.0	F6	E2	H2	H2			
31.0	F6	D3	D3	D3	D3		
32.0		C6	A4	C3	A4		
33.0	C2	C2	C2	C2	C2	C2	
34.0	D5	D5	D5	D5			
35.0			F9	F9	F9	F9	
36.0			D5	G5	G5		
37.0	F6	F9	F9	F10	F10		
38.0				E4	E9		
39.0	F6	G2	C1	B1	B1		
40.0		G4	F1				
41.0	F6	E2	E2	E2			
42.0	F6	E9	D7	D7	D7		
43.0	C7	A10	B3	B3			
44.0	F6	J8	A8	J8	J8		
45.0	F6	D8	D8				
46.0	F6	F1	I9	I9			
47.0	G2	G2	G2	G2			
48.0	I8	I8	I8	F8	I8		
49.0	F6	H10	F9	H10			
50.0				F5	A8		
51.0	K1	B9	B9	B9	K1		
52.0			H10	H10			
53.0	F6	I8	I8	F10	J8		
54.0	F6	F7	I9	F7			
55.0	C10	B3	B3	C10	C10		
56.0			J8	J8	J8		
57.0	F6	F10	F9	F9	F9	F9	
58.0		E3	E3				
59.0	A10	B9	A6				
60.0	F6	D5	J1	J1			
61.0	F6	E2	E2	E2	E2		
62.0	A8	A3	A3	A8			
63.0	F6	F9	H10	A1	A1	A1	
64.0	A4	A4	E3	A4			
65.0	F7	F8	I2	I2			
66.0	B9	B9	E5				
67.0	F6	D4	C2				
68.0		E3	E3	B1			
69.0							
70.0		F10	H10				
71.0	E3	E3	J4				
72.0	F6	J8	J8	F1			
73.0	F6	B8	D7	E9			
74.0					E9		
75.0	F6	J4	G5	H5	F3		
76.0	B7	B7	B7	B7	B9	B7	
77.0		A5	C6	A9			
78.0	J1	J1	C7	J1	J1		
79.0				A5	A5		
80.0	D6	D6	D6	D6			
81.0		G4	A9				
82.0	F9	B1	F9	F9	F9		
83.0	F6	I3	F3	H2			
84.0	F6	D6	G1	G1	H3		
85.0	J10	C10	A10	J10	J10		
86.0	F6	B3	C10	C10	C10		
87.0							
88.0	A8	A8	A8	E9			
89.0	B1	B1	E9				
90.0	F6	A8	A6	F2			
91.0			E2	F3			
92.0			G9	G5			
93.0	F6	F10	F10	F10			
94.0	H5	H5	H5				
95.0	F6	B7	A5	A5	A5		
96.0	B6	B6	J4	A4			
97.0	F6	I6	F9	I6			
98.0	B1	B1	B1	B1			
99.0	J10	J10	J10	I8			
100.0	F6	I6	I6	J1			
101.0		E5	D6	D5			
102.0	G1	G2	G2	G2			
103.0	A9	A9	A9	A9			
104.0	E9	E9	A4	E9			
105.0	F6	J3	J3	J1			
106.0	A1	B9	F5				
107.0	A10	A10	A10	F4			
108.0	A9	D10	A9	A9	A9		
109.0	A1	A1	B2	B2	A3		
110.0	F6	F10	F10	F5	F10		
111.0				H5			
112.0	B1	G2	B1	B1	B1		
113.0	F6	A4	A4	A4	A4		
114.0	F6	D5	D5	J10	J10		
115.0	I9	I9	I9				
116.0		B1	B1	B1	B1	B1	
117.0			E5	C8			
118.0	F6	B1	B1	B1	B1	B1	
119.0	F2	F2	D2				
120.0	F6	D10	A9	D10			
121.0	F6	A9	D10	A7			
122.0	I8	I8	E3	E2			
123.0	F6	J2	J4	E3			
124.0	E9	E9	G5	H6			
125.0		C1	B1	A4			
126.0	F6	E7	C10	B2	B2		
127.0	F6	A4	A4	A3	H10		
128.0			F2	F2	A1		
129.0	D8	D8	H2	J3			
130.0	F6	C7	C7	A4			
131.0	E5	E5	E5	C1	C1		
132.0	F6	C6	A8	A8			
133.0			E5	E5			
134.0		B9	B3	B9			
135.0	I8	D10	D10	I8	I8		
136.0	J10	J10	J10	J10	J10		
137.0	B7	B7	F7	A10	B7		
138.0	B2	B8	B7				
139.0				E9			
140.0			B9	B9			
141.0	F6	E9	E9	E9			
142.0	F6	A6	A10	A10			
143.0		F7	I9	I9	I9		
144.0	F6	J3	J3	J3	J3		
145.0	F6	J10	J10	J10			
146.0	F6	A4	C2	A4	A4		
147.0	F6	J1	J1	J1	H2		
148.0		C7	G1	G1	G1		
149.0		F4	C3	A10	A10		
150.0	F6	A6	A6	A3			
151.0	B3	B2	B3				
152.0	F6	B8	D8	D8			
153.0	F6	A1	A1	A1	B1		
154.0	F6	B2	F9	D10	F9		
155.0	F6	B9	B10	C10			
156.0	A10	A10	A10	A10	A10		
157.0		F7	I8	I8			
158.0	F6	B1	B1	B1	B1	B1	
159.0	F6	G5	G5	G5			
160.0	F6	G1	J1	J1	J1	J1	
161.0			E4	I3			
162.0	F9	J8	F9	F9	F9		
163.0			I3	G8			
164.0	F6	A1	A1	A6			
165.0	J10	J10	J10	B10	J10		
166.0	F6	E9	E9	E9	E9	E9	
