id	slack_time	departure_time	return_time
0	0	711	1254
1	0	608	784
2	24	57	689
3	0	0	607
4	491	60	1437
5	0	515	816
6	487	147	1690
7	0	987	926
8	0	709	734
9	466	150	1286
10	112	625	791
11	0	915	1388
12	80	0	1063
13	0	889	828
14	0	728	714
15	0	335	728
16	70	160	874
17	0	713	863
18	0	710	1153
19	0	0	1274
20	0	1005	1136
21	280	0	1663
22	0	921	1309
23	0	360	979
24	0	328	846
25	312	59	958
26	0	985	1261
27	0	424	1374
28	0	822	1010
29	0	707	620
30	486	0	939
31	0	920	1170
32	0	529	843
33	0	786	1007
34	564	154	1273
35	0	604	798
36	0	908	1247
37	0	710	1167
38	0	429	1134
39	0	726	1236
40	0	240	899
41	0	337	834
42	668	0	1684
43	0	150	625
44	0	624	1175
45	514	0	1285
46	0	531	814
47	0	694	1193
48	0	350	695
49	0	719	1118
50	0	1057	1482
51	179	431	1439
52	0	826	1295
53	0	638	1221
54	69	427	1616
55	0	723	688
56	0	706	1226
57	0	722	1155
58	0	433	1072
59	0	336	1350
60	0	616	661
61	0	605	708
62	0	230	847
63	0	642	1413
64	0	336	999
65	0	623	642
66	51	417	1455
67	0	618	1225
68	276	0	1038
69	426	0	1517
70	0	801	1177
71	0	908	862
72	0	717	921
73	0	704	572
74	0	613	957
75	201	0	1088
76	0	244	791
77	0	819	856
78	372	0	1793
79	0	706	1115
80	0	716	1095
81	79	154	961
82	0	527	922
83	0	718	1124
84	0	616	750
85	0	451	843
86	667	0	1347
87	0	992	574
88	25	346	545
89	385	65	1445
90	0	815	1437
91	0	815	1287
92	0	712	1506
93	0	894	1153
94	0	805	1133
95	0	818	944
96	0	627	1391
97	0	715	989
98	0	617	706
99	0	883	1067
100	441	155	1796
101	0	156	1092
102	145	0	904
103	0	896	1272
104	506	356	1530
105	0	152	964
106	0	244	821
107	0	618	1090
108	0	821	1297
109	235	55	1223
110	155	611	990
111	0	417	749
112	487	60	1576
113	0	805	1265
114	248	69	392
115	0	813	1108
116	0	258	702
117	189	521	1014
118	0	57	617
119	0	707	675
120	0	804	358
121	0	435	928
122	113	0	1046
123	156	155	1097
124	0	71	688
125	89	411	646
126	0	161	612
127	0	59	718
128	0	720	1098
129	0	809	1039
130	0	328	1109
131	0	796	504
132	205	0	798
133	0	884	391
134	0	523	918
135	307	66	1016
136	0	0	1540
137	0	428	759
138	0	703	709
139	0	512	1043
140	0	810	713
141	156	0	577
142	59	56	900
143	0	418	687
144	0	1178	955
145	0	622	863
146	0	801	785
147	20	0	863
148	0	698	880
149	202	0	1120
150	152	0	759
151	0	239	553
152	0	431	487
153	0	713	1095
154	213	155	1167
155	0	722	804
156	117	242	990
157	485	0	1207
158	0	516	544
159	0	900	1465
160	515	0	1534
161	0	430	724
162	0	897	681
163	300	148	1411
164	605	419	1762
165	144	56	1355
166	494	55	950
167	0	434	833
168	0	61	985
169	0	68	674
170	237	48	980
171	0	810	1344
172	0	895	313
173	0	318	973
174	85	154	900
175	397	55	827
176	0	0	596
177	0	439	544
178	0	741	934
179	0	798	279
180	0	517	825
181	0	248	505
182	0	618	725
183	20	68	968
184	0	437	569
185	0	803	552
186	0	64	1048
187	0	521	899
188	69	242	1215
189	0	621	969
190	123	0	932
191	0	709	979
192	0	897	1273
193	234	0	1186
194	0	0	990
195	0	434	725
196	1	249	1046
197	169	250	520
198	0	808	789
199	271	230	839
200	760	0	1588
201	0	432	1209
202	0	1000	1386
203	0	331	1122
204	0	540	1202
205	365	149	1273
206	0	621	910
207	0	525	905
208	0	699	1133
209	0	725	1146
210	0	713	703
211	0	627	1006
212	0	795	1136
213	0	528	1094
214	0	904	1500
215	0	615	743
216	0	718	638
217	0	621	1191
218	0	240	797
219	0	250	528
220	0	710	952
221	0	530	1135
222	0	893	1522
223	0	240	540
224	599	0	1389
225	134	61	1107
226	110	331	1110
227	0	722	1052
228	9	337	643
229	0	520	1017
230	101	251	1092
231	334	0	1123
232	0	0	841
233	110	63	969
234	0	887	734
235	0	704	1089
236	0	617	250
237	0	532	891
238	0	534	973
239	527	0	1311
240	313	152	1339
241	429	0	1574
242	118	161	1135
243	0	614	697
244	0	711	902
245	0	702	1025
246	0	532	580
247	202	61	1457
248	0	902	1015
249	223	0	1048
250	217	428	1503
251	136	240	1043
252	0	521	719
253	0	522	687
254	0	817	1379
255	215	0	645
256	0	620	1039
257	0	344	705
258	0	0	653
259	0	0	532
260	200	612	847
261	0	340	997
262	266	65	1194
263	0	612	1358
264	0	60	822
265	14	63	1526
266	0	0	564
