id	A	B	C	D	E	F	G
0	B2	B1	B2				
1	B2	C2	B1	B2			
2	A1	A1	A1	B2			
3	B2	A3	A2	B2			
4		B2	A2	A2	B2		
5	A2	A1	A3	A2	A1	B1	B2
6	A1	B2	B1	B1			
8		B2	C2	B2	B2	A2	B2
9	B2	B1	B1	B1	B1	B1	B2
10		B2	B2	C1	C1	C1	C1
11		B2	B2	B2	B3	C2	B2
12	B2	C1	C1	C1			
13	B2	A2	A2	A1	B1		
14		B2	C1	B1			
16		B2	A3	A3	A3		
17		B2	B2	B3	B3	B2	
18			A2	A2	A2	A2	A3
19	B2	C3	C2	C2	C2	B2	
20	B1	B1	A1	B1	A3	B3	B2
21	B2	C1	C1	C1	C2	C2	
22		B2	B2	C2	C2	C3	C3
23	A1	A1	B1	B1	A1	A1	B2
24		B1	B1	B2	B3		
25	B	A2	A2	A1	A1	B1	A1
26	B2	C3	B2	B1	B1	B2	
27		B2	C3	C3	C3	B2	A1
28		A2	A2	A2	A2	A1	
30		B2	C2	C2	B3	B3	
31		B2	A1	A1	A1		
32			A2	A2	A2	A2	
33			A2	A2	A2	A2	B3
