id	A	B	C	D	E	F	G
0	A1	A1	B1	C1	B2		
1	B2	A2	A2	A2	A1	A1	B2
2		B2	B2	B1			
5		B2	C1	C1	B2		
6		B2	B2	B2	A2	A2	
7	B2	C3	C3	B3	A3	B2	
8	A1	A1	A2	A2	A2	A2	
9	B2	C2	B3	B3	C2	C1	B2
11	A1	B2	B2	B3	C3	C3	B2
12		B2	B2	B2	B1	B1	
14		B2	B2	B2	A2	A2	
15		B2	A1	A1			
16		B2	B3	B3			
17		A2	A3	A3	A3	B3	B3
18		B2	C2	C2	C2	C2	
19		A2	A2	B1			
20		A1	A1	A1	A1	B2	
21		B2	A2	A2	B3	C3	C2
22	B2	B1	B1	B1	C2	C2	B2
23	A2	A1	A1	A1			
24		B2	A2	A2	A2	B2	B3
25	B1	C1	B1	B2			
27			B2	B1	B1	B1	A1
28	B2	B1	B1	C2	B2		
29			B2	B1	B1	B1	B2
30	B2	C1	C1	C1	C1	B2	
31			B2	B1	B1	B1	B1
