id	A	B	C	D	E	F	G
0	H6	I2	F4	F5			
1	E6	E4	J2	A8	C7		
2	G4	F1	E8	H6	H9	B9	
3	F3	E3	G9	E7	H5	B8	I4
4	F4	B9	D5	E7	H7	F6	
5	G4	F2	H2	I6	D2	G2	F3
6	G4	F6	A8	A8	H9	G5	H6
7	C5	D4	H2	C2	B8	C7	
8	B7	J7	B5	D4	E6	I4	C9
9	I6	J4	B7	D2	D5	D10	
10	B9	E3	F7	E8	G5	G1	
11	G4	H6	C1	F2	D5	F9	I5
12	B6	J2	G4	I7	H9	H2	E4
13	F6	A8	H2	H5	H2	G5	
14	I2	B5	B5	E8	B9	H9	
15	B9	A8	B9	F9	J7	F6	E3
16	G5	G9	A7	E3	H9	A8	D9
17	G6	J2	H6	F1	H4		
18	E4	B7	E8	H8	I4	C5	
19	B6	E8	B9	A7	J6	J2	
20	I4	B7	H5	E7	H8	B9	F9
21	A9	I6	J4	H8	G2	F9	
22	G4	F1	B6	H9	E3	C5	D3
23	D2	J7	E6	A8	D3	I6	G7
24	C6	E4	F4	B9	J2	F5	
25	G9	D9	E3	I3	E7	A8	E6
26	H5	D5	D10	J2	E8	C5	H2
27	H5	H2	E6	F9	G4	I4	C5
28	G8	E3	J7	E8	F3	E4	
29	I6	E8	K8	J2	B9	H2	G2
30	J7	I6	H5	D10	B5	B7	
31	E8	H2	H1	B9	E7	D4	F4
32	D8	D3	H6	H5	A8	G3	G3
33	E3	B5	F3	F3	D2	B5	E6
34	G4	H6	B9	A8	F3	G2	
35	D5	G9	H5	H2	B5	F9	A8
36	C2	F7	J8	D4	F9	I4	
37	E3	D2	A7	H6	E8	D2	F9
38	E3	A7	B7	I6	D2	F3	B5
39	D9	G9	A8	E3	A8	E8	B8
40	E3	G9	B9	B9	B8	B9	I7
41	F3	H2	F2	B5	B5	E8	J2
42	F7	F2	J2	H5	H8	G2	
43	I7	F4	H6	H1	A8	E4	B8
44	D4	B9	D4	B7			
45	I4	E3	D10	F3	G2	E8	E3
46	I6	F1	G8	E7	J7	J2	F5
47	C2	E2	B9	J2	H5	D3	I4
48	C2	C6	B5	E7	D10	D9	
49	F5	G8	A8	D11	J2	G3	E8
50	H6	H1	C2	G5	G5	G6	G6
51	C9	D2	F4	B9	J7	B8	H8
52	B8	B7	H8	F9	G4	G5	E3
53	C5	F7	I6	J7	H5	H2	G2
54	B7	I6	J7	D1	H2	D2	
55	B6	A9	H8	D3	F1	G4	F9
56	F6	G4	F3	J2	H2		
57	E6	B7	F9	B9	F3	H5	
58	C9	B6	F7	H2	G4	F4	D9
59	E6	D2	B5	B5	G4	D5	
60	D5	D9	J2	J2	B5	A8	
61	H8	H2	A7	D10	D10	F3	I5
62	H9	B6	A8	H6	G4	J7	
63	F3	A8	E6	B7	F1	G2	G5
64	I4	J7	E6	H5	E8	D2	
65	A7	E3	E3	E7	E7		
66	E6	H2	J4	F3	H2	G5	F5
67	H2	J7	C2	F3	F5	D3	E7
68	F6	F6	G9	E6	E4	F1	H2
69	E4	D5	F3	F2	E3		
70	I2	H1	H4	E6	E5	C5	F9
71	G9	F2	H2	D5	G4	H4	
72	E8	C10	B5	H2	D10	F9	C5
73	F6	I2	F1	G1	J7	G4	E5
74	F2	B6	F7	E8	J6	E4	C9
75	I4	C5	F2	E4	H6	D5	
76	I4	G5	H8	G9	A8	H8	I8
77	E7	F2	F4	A8	D2	J2	
78	F5	C10	J2	E3	E7	J2	F6
79	D10	F1	J2	A8	G8	B9	E6
80	F7	H2	D4	E3	I4	E6	E5
81	C9	C9	I3	I3	H2	F1	
82	E5	C2	H8	E3	G4	F3	
83	F2	D10	E3	H2	A8	A8	
