id	slack_time	departure_time	return_time
0	3853	229	3474
1	5972	0	3914
2	7780	0	3914
3	6000	0	3695
4	5744	455	3588
5	4109	0	3372
6	5947	0	3712
7	4560	0	2973
8	6507	56	3498
9	5678	254	3914
10	5847	0	3749
11	7362	0	3914
12	5711	179	3890
13	5236	0	3507
14	5852	0	3744
15	4631	166	3708
16	5908	0	3556
17	6745	0	3914
18	3674	0	2845
19	5831	52	3035
20	6443	51	3730
21	4103	172	3780
22	6288	245	3693
23	4916	260	3474
24	5713	0	3914
25	5546	196	3802
26	5519	653	3809
27	6728	0	3914
28	5877	0	3683
29	4298	0	3914
30	6293	47	2736
31	7608	162	3897
32	5473	0	3914
33	4084	0	3441
34	5758	64	3914
35	7571	0	3883
36	6237	53	3827
37	6921	0	3719
38	5064	0	3103
39	6255	155	3698
40	6810	0	3641
41	6709	0	3779
42	6228	0	3887
43	5775	522	3181
44	5829	0	3425
45	6717	141	3558
46	5735	0	3872
47	7162	0	3380
48	4939	0	3914
49	5026	0	3598
50	7530	0	3731
51	7610	0	3914
52	5439	0	3657
53	6933	0	3914
54	5719	0	3404
55	5062	165	3906
56	6407	265	3157
57	7492	0	3519
58	8424	0	3641
59	3682	1228	3720
60	4527	46	3629
61	5252	444	3606
62	6596	0	3788
63	6563	0	3784
64	4306	325	3689
65	5348	0	3836
66	5857	0	3553
67	6308	0	3688
68	7659	0	3470
69	5888	54	2722
70	5741	0	2944
71	8333	145	3807
72	6427	0	3497
73	5338	361	3823
74	6495	48	3807
75	5528	257	3588
76	5133	0	3592
77	7049	0	3629
78	6427	0	3647
79	2832	0	3123
80	6744	55	3870
81	5786	545	3462
82	5089	0	3914
83	2514	0	3606
