id	A	B	C	D	E	F	G
0	J2	H6	C10	A8			
1	G4	H5	H9	J3	F3	F3	F4
2	H6	F3	J2	A8	H2	F5	
3	G8	C9	A8	B9	B5	C6	G8
4	H8	E9	E8	H2	B5	B8	D2
5	J7	I6	H5	H2	J7	E8	H2
6	J2	D10	B5	E7	H8	H5	F9
7	E5	B7	A7	E3	J2	F5	
8	E4	B6	J2	B9	D3	E4	
9	F2	H6	H6	H5	F9	I5	G6
10	H2	A8	C1	F3	E6	E3	G2
11	G8	F1	H5	J2	B5	B9	E6
12	A7	H2	A7	E3	B7	G1	I4
13	I2	H5	A7	E6	F9	B8	I4
14	B7	G9	F2	E8	B9	I4	D4
15	C9	E3	E6	J2	F4		
16	E4	F3	G8	H5	D3	F9	E5
17	F2	C2	A7	E6	B5	I4	G1
18	F1	E8	B9	D4	B7	I4	E7
19	D4	H3	D4	I6	F3	B5	
20	C5	G9	C2	A8	B9	D10	F6
21	H8	D5	D4	H5	H5	G2	B9
22	D9	H5	J7	A8	D2	E7	D10
23	E3	B7	F1	D10	D2	D3	H5
24	C8	H2	E8	I7	D2	B8	
25	F2	B6	H6	I3	B7	I7	E5
26	I2	E3	F3	A7	F9	E7	G3
27	I7	H9	H2	H2	J7		
28	E8	I6	F4	A8	J2	F5	
29	F5	D5	J2	E3	F1	B9	E6
30	I6	A8	B5	J2	D2	G5	
31	E6	F5	J7	D10	H9	I6	C5
32	I4	G9	E6	B9	E8	E7	H2
33	C2	F3	J7	H1	J2	G3	F4
34	G9	H2	E4	F9	D10		
35	H5	C10	B5	F3	E3		
36	B6	E4	D4	J7	H2	E3	G1
37	E6	C9	E3	F3	B5		
38	F6	E3	E6	J3	G2	H2	I8
39	F7	F1	E8				
40	F3	G5	G9	C2			
41	F3	B6	G4	H8	J6	G9	F6
42	C2	H2	H8	H1	H2	F3	F5
43	G9	A8	G9	A8	H5	C5	G5
44	G4	D2	G9	G5	A8	H9	C9
45	E6	D5	E3	B9	H4		
46	I6	H2	B9	H5	E8	J2	G2
47	G4	I6	H1	C2	B9	G4	D9
48	I4	B9	D10	F3	H2		
49	F2	E3	I6	H6	D10	H8	G6
50	E7	J2	D10	E7	G2	G3	D2
51	G6	B7	F1	H8	C5	E5	
52	H8	F3	G5	A8	E8	F1	B9
53	G4	E8	C2	F1	F1	I4	F3
54	F6	J4	H5	F3	E7		
55	B6	D8	E4	F3	H5	J7	
56	C5	D10	D2	B5	G10	A8	C7
57	F1	E6	E8	E6	D3	E6	J2
58	F4	D5	F2	A8	F3	F3	A8
59	J7	J7	I2	E3	I3	B5	
60	B8	F4	D10	E7	E6	E5	E5
61	G4	C10	I6	B5	D3		
62	B7	H2	B5	D3	J7		
63	C5	H2	E3	J2	J2	D5	D9
64	G8	F4	J7	H5	E7	A8	F2
65	E2	G8	D10	G9	E7	B7	E3
66	D9	B9	B9	J2	G5	F4	D9
67	B6	E3	A8	F9	H5	G2	
68	H4	G5	H2	E7	E5	I6	H8
69	C6	E1	G9	J7	D2	F3	H2
70	J7	J7	A7	B7	H2	F5	
71	A9	F1	B7	H5	D10	G6	D10
72	I4	J7	F3	A8	H9	J2	
73	F2	G8	G9	I6	H5	J2	I5
74	D5	H6	A8	F9	A8	C9	H6
75	H2	H5	H1	I3	E6	D5	
76	D2	J4	D4	B7	B9	H2	I4
77	D9	D2	I6	E6	G5	E7	
78	F3	I6	B9	A8	G2	B5	
79	G8	J7	E6	E3	F3	I6	E8
80	I4	E7	G5	D2	J7	F1	A8
81		F3	F1	F1	H2	F9	
82	F6	H6	I4	F1	A8	B8	
83	B9	A8	J8	B5	E8	B8	E7
84			E6	E6	E6	E6	D2
