id	slack_time	departure_time	return_time
0	3474	0	2625
1	5874	358	3883
2	2779	526	3458
3	9706	143	3914
4	8259	0	3882
5	8945	0	3788
6	5131	232	3654
7	1525	419	3698
8	5325	0	3872
9	1198	1008	3809
10	4690	0	3588
11	7285	0	3914
12	5918	0	3914
13	3280	911	3731
14	4120	52	3071
15	6893	145	3914
16	6240	871	3470
17	5298	149	3720
18	4251	0	3592
19	5622	52	3401
20	3017	1042	3328
21	5826	0	3238
22	4926	650	3606
23	7574	0	3655
24	4967	0	3310
25	3885	613	3641
26	3242	271	3563
27	5312	254	3711
28	5062	155	3513
29	7488	68	3684
30	4849	329	3234
31	5396	0	3820
32	7072	442	3763
33	5243	165	3836
34	3365	807	3399
35	4265	473	3796
36	6729	0	3749
37	5329	675	2961
38	9238	473	3890
39	2224	196	3737
40	4725	166	3260
41	5710	0	3914
42	5008	0	3594
43	5694	106	3874
44	4610	0	2989
45	4520	0	3561
46	5245	0	3558
47	4224	245	3470
48	5366	233	3219
49	4213	0	3591
50	1706	347	3545
51	5013	0	3751
52	6839	547	3422
53	10201	0	3173
54	5215	0	2942
55	1839	659	2722
56	5090	0	3780
57	3449	0	3310
58	7692	0	3914
59	3889	0	3897
60	2503	242	3807
61	8021	0	3606
62	4727	0	3906
63	6276	0	3846
64	6911	432	3454
65	1694	820	3914
66	6234	0	3914
67	5245	463	3275
68	3434	258	3914
69	2490	0	3791
70	3213	43	2553
71	4072	0	3706
72	2862	432	3780
73	4468	0	2975
74	7410	0	3604
75	5972	419	3809
76	7413	0	3751
77	5817	71	3026
78	4902	600	3222
79	2678	47	2942
80	5310	151	3629
81	3665	0	2303
82	6924	0	3422
83	4818	332	3145
84	7289	257	3779
85	5378	-90	3764
86	3949	527	3668
87	3048	-156	4013
88	2220	596	4030
89	5786	-41	4017
90	2656	126	3092
91	5764	-150	3740
92	4655	463	3813
93	5229	96	2981
94	4590	-19	3648
95	4335	167	3283
96	5033	11	4036
97	6271	-131	3492
98	3560	1021	4066
99	4549	7	3976
100	3018	449	3891
101	1701	457	2895
102	2443	119	1868
103	6194	133	4042
104	4245	-127	3584
105	3830	301	3512
106	2388	363	4068
107	5654	-51	3665
108	4331	217	3448
109	7116	-4	4017
110	4190	17	3926
111	3787	126	3499
112	3678	84	3761
113	2530	-123	3787
114	4552	-138	2449
115	3271	210	3692
116	5529	98	3940
117	4180	264	3685
118	4958	-121	3377
119	7087	312	3373
120	5372	-4	3436
121	3431	-53	3037
122	4099	180	3692
123	1743	-33	1351
124	4640	-159	3984
125	7991	-116	4033
126	3664	134	3291
127	3776	131	3922
128	5953	-2	3985
129	5011	48	3731
130	5010	143	3616
131	4044	-158	3849
132	6121	-3	3741
133	4758	882	3851
134	5781	-134	3848
135	5042	-98	4032
136	4201	11	3542
137	2800	-137	3787
138	4352	850	3081
139	5019	90	3969
140	4631	175	3268
141	4693	-64	3321
142	5319	-134	3592
143	743	374	3352
144	4465	119	3790
145	3894	-147	3191
146	6322	-72	3486
147	2931	-139	3930
148	4318	272	3958
149	5042	11	3097
150	4814	63	3695
151	5679	-75	3879
152	3574	-133	3971
153	3220	-31	3293
154	5834	-3	3754
155	6231	-140	3758
156	4424	116	3910
157	6523	52	3849
158	4598	-104	3665
159	5312	178	3985
160	5495	178	4013
161	4707	-131	3696
162	5699	-76	3695
163	3925	279	3873
164	5922	279	3805
165	2137	178	3408
166	2026	127	4029
167	4479	-11	3821
168	6081	-127	3636
169	4108	86	3703
170	5834	90	3851
171	4638	-70	3499
172	4606	-121	3464
173	3717	-131	3392
174	4592	-119	3535
175	5806	471	4030
176	3039	-147	3131
177	5882	470	3930
178	4079	-43	3877
179	2903	-167	2982
180	7620	-106	3731
181	4480	-103	3856
182	5110	321	3784
183	4693	976	3984
184	5583	-136	3520
185	5175	301	3949
186	4925	126	3520
187	4838	63	3282
188	3846	-123	3660
189	3080	-165	3602
190	4853	-164	3364
191	5539	658	3248
192	7040	169	4035
193	6227	109	3365
194	5595	162	4058
195	3221	391	3576
196	4157	-122	3972
197	4129	-100	3787
198	3491	474	2946
199	3143	422	4066
200	3290	-116	2768
201	5336	188	3784
202	2882	178	3958
203	4018	143	3158
204	3518	234	3510
205	4333	885	3357
206	4905	-166	3145
207	5223	84	2814
208	4297	946	3876
209	4603	216	3394
210	1949	692	3283
211	2375	310	4033
212	4039	-135	3046
213	2085	21	3564
214	1992	69	3903
215	7636	-158	3695
216	4579	-157	3636
217	4766	-3	3542
218	4226	167	3926
219	2853	-16	3147
220	3900	-121	3522
221	3387	-142	3576
222	3785	-98	3909
223	5122	110	4030
224	6401	-98	3520
225	4743	463	3740
226	4570	-100	3671
227	5547	33	3783
228	3394	453	3984
229	4406	7	3940
230	5032	272	3668
231	4899	-42	3863
232	5997	210	3876
233	4120	109	3513
234	150	1978	3467
235	5125	470	3603
236	5068	-43	3832
237	6301	-3	3854
238	4694	63	3092
239	2856	-167	2900
240	4990	-166	3753
241	4777	-159	3981
